NO,국문,영문,학명,관리현황,분류군,학명-수정
177,호주란셀섬도마뱀,Lancelin island skink,Ctenotus lancelini</em>,유입주의 생물,파충류,Ctenotus lancelini
178,북미계곡가시고기,,Culaea inconstans</em>,유입주의 생물,어류,Culaea inconstans
179,열대자주꽃망초,,Cyanthillium cinereum</em> (L.) H.Rob.,유입주의 생물,식물,Cyanthillium cinereum
180,거울잉어,Mirror carp,Cyprinus carpio</em> var. specularis</em>,유입주의 생물,어류,Cyprinus carpio
181,포르투갈골담초,,Cytisus multiflorus</em> Sweet,유입주의 생물,식물,Cytisus multiflorus
182,흰털열매골담초,"Striated broom, Portuguese broom",Cytisus striatus</em> (Hill) Rothm.,유입주의 생물,식물,Cytisus striatus
183,아르메니아도마뱀,Armenian Lizard,Darevskia armeniaca</em>,유입주의 생물,파충류,Darevskia armeniaca
184,붉은방둥이아구티,Red-rumped agouti,Dasyprocta leporina</em>,유입주의 생물,포유류,Dasyprocta leporina
185,아홉띠아르마딜로,Nine-banded armadillo,Dasypus novemcinctus</em>,유입주의 생물,포유류,Dasypus novemcinctus
186,아프리카덩굴솜방망이,Cape ivy,Delairea odorata</em> Lem.,유입주의 생물,식물,Delairea odorata
187,초원뾰족민달팽이,"Field slug, Grey field slug, Milky slug, Northern field slug",Deroceras agreste</em>,유입주의 생물,무척추동물,Deroceras agreste
188,긴목뾰족민달팽이,"Long neck field slug, Brown field slug",Deroceras caruanae</em>,유입주의 생물,무척추동물,Deroceras caruanae
189,갈색뾰족민달팽이,Tramp slug,Deroceras invadens</em>,유입주의 생물,무척추동물,Deroceras invadens
190,정원뾰족민달팽이,,Deroceras subagrestis</em>,유입주의 생물,무척추동물,Deroceras subagrestis
191,흡혈박쥐,Common vampire bat,Desmodus rotundus</em>,유입주의 생물,포유류,Desmodus rotundus
192,데몬두뿔옆새우,Demon shrimp,Dikerogammarus haemobaphes</em>,유입주의 생물,무척추동물,Dikerogammarus haemobaphes
193,인도마,"Chinese yam, Cinnamon vine",Dioscorea oppositifolia</em> L.,유입주의 생물,식물,Dioscorea oppositifolia
194,남아공완두,,Dipogon lignosus</em> (L.) Verdc.,유입주의 생물,식물,Dipogon lignosus
195,구린내금불초,Stinkwort,Dittrichia graveolens</em> (L.) Greuter,유입주의 생물,식물,Dittrichia graveolens
196,지중해금불초,,Dittrichia viscosa</em> (L.) Greuter,유입주의 생물,식물,Dittrichia viscosa
197,고양이발톱덩굴,Funnel creeper,Dolichandra unguis-cati</em> (L.) L.G.Lohmann,유입주의 생물,식물,Dolichandra unguis-cati
198,아시아검은안경두꺼비,,Duttaphrynus melanostictus</em>,유입주의 생물,양서류,Duttaphrynus melanostictus
