NO,국문,영문,학명,관리현황,분류군,학명-수정
351,금빛황어,Ide,Leuciscus idus</em>,"외래생물, 유입주의 생물",어류,Leuciscus idus
352,유럽야레,Common dace,Leuciscus leuciscus</em>,유입주의 생물,어류,Leuciscus leuciscus
353,쿨개울개구리,,Limnonectes kuhlii</em>,유입주의 생물,양서류,Limnonectes kuhlii
354,일본퉁가리,Reddish bullhead,Liobagrus reini</em>,유입주의 생물,어류,Liobagrus reini
355,그린벨개구리,"Golden tree frog, Green and golden bell frog",Litoria aurea</em>,유입주의 생물,양서류,Litoria aurea
356,염소울음청개구리,Bleating Tree Frog,Litoria dentata</em>,유입주의 생물,양서류,Litoria dentata
357,호주남부갈색청개구리,Southern brown tree frog,Litoria ewingii</em>,유입주의 생물,양서류,Litoria ewingii
358,호주남부종개구리,Growling grass frog,Litoria raniformis</em>,유입주의 생물,양서류,Litoria raniformis
359,페르시아호밀풀,"Persian darnel, Persian ryegrass",Lolium persicum</em> Boiss. &amp; Hohen.,유입주의 생물,식물,Lolium persicum
360,남미갈색실거미,Brazilian brown spider,Loxosceles intermedia</em>,유입주의 생물,무척추동물,Loxosceles intermedia
361,날개여뀌바늘,,Ludwigia decurrens</em> Walter,유입주의 생물,식물,Ludwigia decurrens
362,큰물달맞이꽃,,Ludwigia grandiflora</em> (Michx.) Greuter &amp; Burdet,유입주의 생물,식물,Ludwigia grandiflora
363,아프리카구기자,African boxthorn fruit,Lycium ferocissimum</em> Miers,유입주의 생물,식물,Lycium ferocissimum
364,인도늑대뱀,,Lycodon aulicus</em>,유입주의 생물,파충류,Lycodon aulicus
365,유럽부처꽃,,Lythrum hyssopifolia</em> L.,유입주의 생물,식물,Lythrum hyssopifolia
366,호주민물대구,Murray cod,Maccullochella peelii</em>,유입주의 생물,어류,Maccullochella peelii
367,연갈색왈라비,"Agile wallaby, Sandy wallaby",Macropus agilis</em>,유입주의 생물,포유류,Macropus agilis
368,캥거루섬캥거루,"Western grey kangaroo, Sooty kangaroo, Mallee kangaroo, Black-faced kangaroo",Macropus fuliginosus fuliginosus</em>,유입주의 생물,포유류,Macropus fuliginosus fuliginosus
369,태즈메이니아캥거루,"Eastern grey kangaroo, Great grey kangaroo, Forester kangaroo",Macropus giganteus tasmaniensis</em>,유입주의 생물,포유류,Macropus giganteus tasmaniensis
370,파르마왈라비,Parma kangaroo,Macropus parma</em>,유입주의 생물,포유류,Macropus parma
371,베넷왈라비,Bennett’s wallaby,Macropus rufogriseus rufogriseus</em>,유입주의 생물,포유류,Macropus rufogriseus rufogriseus
372,동양붉은턱큰실젖거미,Giant japanese funnel–web spider,Macrothele gigas</em>,유입주의 생물,무척추동물,Macrothele gigas
373,대만검은큰실젖거미,Primitive funnel-web builder,Macrothele holsti</em>,유입주의 생물,무척추동물,Macrothele holsti
374,대만빗살큰실젖거미,Funnel-web spider,Macrothele taiwanensis</em>,유입주의 생물,무척추동물,Macrothele taiwanensis
375,아프리카구릿빛채송화,,Malephora crocea</em> (Jacq.) Schwantes,유입주의 생물,식물,Malephora crocea
376,아메리카노랑아욱,,Malvastrum coromandelianum</em> (L.) Garcke,유입주의 생물,식물,Malvastrum coromandelianum
377,카스피민물거북,Caspian Pond Turtle,Mauremys caspica</em>,"외래생물, 유입주의 생물",파충류,Mauremys caspica
378,일본돌거북×남생이,Pond Turtle,Mauremys japonica</em> × Mauremys reevesii</em>,유입주의 생물,파충류,Mauremys japonica
379,류큐노랑늪거북,Ryukyu yellow pond turtle,Mauremys mutica kami</em>,유입주의 생물,파충류,Mauremys mutica kami
380,노랑늪거북,Yellow pond turtle,Mauremys mutica</em>,유입주의 생물,파충류,Mauremys mutica
381,중국줄무늬목거북×남생이,Pond Turtle,Mauremys sinensis</em> × Mauremys reevesii</em>,유입주의 생물,파충류,Mauremys sinensis
382,멕시코시클리드,,Mayaheros urophthalmus</em>,유입주의 생물,어류,Mayaheros urophthalmus
383,기니기장,Guinea grass,Megathyrsus maximus</em>,유입주의 생물,식물,Megathyrsus maximus
384,넓은잎껍질나무,,Melaleuca quinquenervia</em> (Cav.) S.T.Blake,유입주의 생물,식물,Melaleuca quinquenervia
385,우단나무,,Miconia calvescens</em> DC.,유입주의 생물,식물,Miconia calvescens
386,오키나와벼맹꽁이,,Microhyla okinavensis</em>,유입주의 생물,양서류,Microhyla okinavensis
387,작은입배스,Small mouth bass,Micropterus dolomieu</em>,유입주의 생물,어류,Micropterus dolomieu
388,얼룩무늬배스,Spotted bass,Micropterus punctulatus</em>,유입주의 생물,어류,Micropterus punctulatus
389,덩굴등골나물,"Mile-a-minute, American rope, Bittervine, Chinese creeper, Climbing hempweed, Mikania vine",Mikania micrantha</em>,유입주의 생물,식물,Mikania micrantha
390,부다페스트민달팽이,"Budapest slug, Keeled slug",Milax gracilis</em>,유입주의 생물,무척추동물,Milax gracilis
391,점박이능선달팽이,"Bulb-eating slug, Root-eating slug",Milax rusticus</em>,유입주의 생물,무척추동물,Milax rusticus
392,나무껍질민달팽이,"Sowerby&apos;s slug, Bulb-eating slug",Milax sowerbyi</em>,유입주의 생물,무척추동물,Milax sowerbyi
393,유럽미꾸리,Weatherfish,Misgurnus fossilis</em>,유입주의 생물,어류,Misgurnus fossilis
394,호주검은쥐거미,Eastern mouse spider,Missulena bradleyi</em>,유입주의 생물,무척추동물,Missulena bradleyi
395,호주붉은머리쥐거미,Red-headed mouse spider,Missulena occatoria</em>,유입주의 생물,무척추동물,Missulena occatoria
396,쿠바벨벳자유꼬리박쥐,"Pallas’s mastiff bat, Velvety free-tailed bat",Molossus molossus tropidorhynchus</em>,유입주의 생물,포유류,Molossus molossus tropidorhynchus
397,갈색머리검은피리새,,Molothrus ater</em>,유입주의 생물,조류,Molothrus ater
398,화살잎물옥잠,Arrowleaf false pickerel-weed,Monochoria hastata</em> (L.) Solms,유입주의 생물,식물,Monochoria hastata
399,외잎남아공붓꽃,,Moraea flaccida</em> Steud.,유입주의 생물,식물,Moraea flaccida
400,살구색남아공붓꽃,,Moraea ochroleuca</em> Drapiez,유입주의 생물,식물,Moraea ochroleuca
401,불꽃소귀나무,Firetree,Morella faya</em> (Aiton) Wilbur,유입주의 생물,식물,Morella faya
402,북미흰농어,White perch,Morone americana</em>,유입주의 생물,어류,Morone americana
403,흰배스,White bass,Morone chrysops</em>,유입주의 생물,어류,Morone chrysops
404,줄농어,Striped bass,Morone saxatilis</em>,"외래생물, 유입주의 생물",어류,Morone saxatilis
405,양식줄농어,Hybrid striped bass,Morone saxatilis</em> × Morone chrysops</em>,유입주의 생물,어류,Morone saxatilis
406,류큐쥐,,Mus caroli</em>,유입주의 생물,포유류,Mus caroli
407,북방족제비,Stoat,Mustela erminea</em>,유입주의 생물,포유류,Mustela erminea
408,긴털족제비,European polecat,Mustela putorius</em>,"외래생물, 유입주의 생물",포유류,Mustela putorius
409,아메리카밍크,American mink,Mustela vison</em>,유입주의 생물,포유류,Mustela vison
410,유럽가시상추,,Mycelis muralis</em> Dumort.,유입주의 생물,식물,Mycelis muralis
411,청잉어,Black carp,Mylopharyngodon piceus</em>,유입주의 생물,어류,Mylopharyngodon piceus
412,작은목도리과일박쥐,,Myonycteris torquata</em>,유입주의 생물,포유류,Myonycteris torquata
413,호생꽃물수세미,Alternate-flowered water-milfoil,Myriophyllum alterniflorum</em> DC.,유입주의 생물,식물,Myriophyllum alterniflorum
414,미국물수세미,Broadleaf watermilfoil,Myriophyllum heterophyllum</em> Michx.,유입주의 생물,식물,Myriophyllum heterophyllum
415,남미나래새,,Nassella charruana</em> (Arechav.) Barkworth,유입주의 생물,식물,Nassella charruana
416,유럽머쉬룸망둑,Mushroom goby,Neogobius eurycephalus</em>,유입주의 생물,어류,Neogobius eurycephalus
417,몽키망둑,Monkey goby,Neogobius fluviatilis</em>,유입주의 생물,어류,Neogobius fluviatilis
418,카스피큰머리망둑,Caspian bighead goby,Neogobius gorlap</em>,유입주의 생물,어류,Neogobius gorlap
419,유럽둥근망둑,Round goby,Neogobius melanostomus</em>,유입주의 생물,어류,Neogobius melanostomus
420,카스피모래망둑,Caspian sand goby,Neogobius pallasi</em>,유입주의 생물,어류,Neogobius pallasi
421,버마갈대,Burma reed,Neyraudia reynaudiana</em>,유입주의 생물,식물,Neyraudia reynaudiana
422,나무담배,,Nicotiana glauca</em> Graham,유입주의 생물,식물,Nicotiana glauca
423,호피무늬뱀,Tiger snake,Notechis scutatus</em>,유입주의 생물,파충류,Notechis scutatus
424,유럽가시통거미,Harvestman spider,Odiellus spinosus</em>,유입주의 생물,무척추동물,Odiellus spinosus
425,흰꼬리사슴,White tailed deer,Odocoileus virginianus</em>,유입주의 생물,포유류,Odocoileus virginianus
426,아르헨티나실버사이드,Argentinian silverside,Odontesthes bonariensis</em>,유입주의 생물,어류,Odontesthes bonariensis
427,유럽미나리,Water dropwort,Oenanthe pimpinelloides</em> L.,유입주의 생물,식물,Oenanthe pimpinelloides
428,클라크송어,Cutthroat Trout,Oncorhynchus clarkii</em>,유입주의 생물,어류,Oncorhynchus clarkii
429,비와산천어,Biwa trout,Oncorhynchus masou rhodurus</em>,유입주의 생물,어류,Oncorhynchus masou rhodurus
430,솜엉겅퀴,"Scotch cottonthistle, Cotton thistle",Onopordum acanthium</em> L.,유입주의 생물,식물,Onopordum acanthium
431,로제트엉겅퀴,"Horse thistle, Stemless thistle",Onopordum acaulon</em>,유입주의 생물,식물,Onopordum acaulon
432,일리리아엉겅퀴,,Onopordum illyricum</em> L.,유입주의 생물,식물,Onopordum illyricum
433,타우리카엉겅퀴,,Onopordum tauricum</em> Willd.,유입주의 생물,식물,Onopordum tauricum
434,유럽붉은참통거미,Rare harvestman,Opilio canestrinii</em>,유입주의 생물,무척추동물,Opilio canestrinii
435,켄터키가재,Rusty crayfish,Orconectes juvenilis</em>,유입주의 생물,무척추동물,Orconectes juvenilis
436,북미맑은물가재,Northern clearwater crayfish,Orconectes propinquus</em>,유입주의 생물,무척추동물,Orconectes propinquus
437,쿠바청개구리,Cuban treefrog,Osteopilus septentrionalis</em>,유입주의 생물,양서류,Osteopilus septentrionalis
438,유럽무플론,"European mouflon, Mouflon, Eastern mouflon",Ovis musimon</em>,"외래생물, 유입주의 생물",포유류,Ovis musimon
439,무플론,Mouflon,Ovis orientalis</em>,유입주의 생물,포유류,Ovis orientalis
440,톡소스톰황어,Toxostome,Parachondrostoma toxostoma</em>,유입주의 생물,어류,Parachondrostoma toxostoma
441,카스피해기수곤쟁이,Opossum shrimp,Paramysis lacustris</em>,유입주의 생물,무척추동물,Paramysis lacustris
442,열대긴수염개미,,Paratrechina longicornis</em>,유입주의 생물,곤충,Paratrechina longicornis
443,버펄로참새피,"Buffalo grass, sour grass",Paspalum conjugatum</em> P.J.Bergius,유입주의 생물,식물,Paspalum conjugatum
444,파나마참새피,"Panama crown grass, winged paspalum",Paspalum fimbriatum</em> Kunth,유입주의 생물,식물,Paspalum fimbriatum
445,황갈색큰참새피,,Paspalum quadrifarium</em> Lam.,유입주의 생물,식물,Paspalum quadrifarium
446,집참새,House sparrow,Passer domesticus</em>,유입주의 생물,조류,Passer domesticus
447,악취시계꽃,Fetid passionflower,Passiflora foetida</em> L.,유입주의 생물,식물,Passiflora foetida
448,운향아재비,,Peganum harmala</em> L.,유입주의 생물,식물,Peganum harmala
449,점틸라피아,spotted tilapia,Pelmatolapia mariae</em>,"외래생물, 유입주의 생물",어류,Pelmatolapia mariae
450,아프리카헬맷거북,African Helmeted Turtle,Pelomedusa subrufa</em>,유입주의 생물,파충류,Pelomedusa subrufa
451,유럽식용개구리,Edible Frog,Pelophylax esculentus</em>,유입주의 생물,양서류,Pelophylax esculentus
452,발칸개구리,Balkan Frog,Pelophylax kurtmuelleri</em>,유입주의 생물,양서류,Pelophylax kurtmuelleri
453,유럽연못개구리,Pool frog,Pelophylax lessonae</em>,유입주의 생물,양서류,Pelophylax lessonae
454,다루마개구리,Daruma pond frog,Pelophylax porosus</em>,유입주의 생물,양서류,Pelophylax porosus
455,웃는개구리,Marsh frog,Pelophylax ridibundus</em>,유입주의 생물,양서류,Pelophylax ridibundus
456,북미강농어,American yellow perch,Perca flavescens</em>,유입주의 생물,어류,Perca flavescens
457,유라시아민물농어,European perch,Perca fluviatilis</em>,유입주의 생물,어류,Perca fluviatilis
458,발기,Chinese sleeper,Perccottus glenii</em>,유입주의 생물,어류,Perccottus glenii
459,초록담치,Asian green mussel,Perna viridis</em>,유입주의 생물,무척추동물,Perna viridis
460,북미들쥐,Deer mouse,Peromyscus maniculatus</em>,유입주의 생물,포유류,Peromyscus maniculatus
461,대서양칠성장어,Sea lamprey,Petromyzon marinus</em>,유입주의 생물,어류,Petromyzon marinus
462,일본꿩,Green pheasant,Phasianus versicolor</em>,유입주의 생물,조류,Phasianus versicolor
463,브라질너구리거미,Bahia armed spider,Phoneutria bahiensis</em>,유입주의 생물,무척추동물,Phoneutria bahiensis
464,브라질점무늬너구리거미,,Phoneutria keyserlingi</em>,유입주의 생물,무척추동물,Phoneutria keyserlingi
465,아마존너구리거미,Brazilian amazonian armed spider,Phoneutria reidyi</em>,유입주의 생물,무척추동물,Phoneutria reidyi
466,남미붉은꼬리동자개,Redtail catfish,Phractocephalus hemioliopterus</em>,유입주의 생물,어류,Phractocephalus hemioliopterus
467,붉은파쿠,Red-bellid pacu,Piaractus brachypomus</em>,유입주의 생물,어류,Piaractus brachypomus
468,파쿠,Pacu,Piaractus mesopotamicus</em>,유입주의 생물,어류,Piaractus mesopotamicus
469,큰타이런트새,,Pitangus sulphuratus</em>,유입주의 생물,조류,Pitangus sulphuratus
470,호주돈나무,Australian cheesewood,Pittosporum undulatum</em> Vent.,유입주의 생물,식물,Pittosporum undulatum
471,페르시아마디풀,,Polygonum argyrocoleon</em> Steud. ex Kunze,유입주의 생물,식물,Polygonum argyrocoleon
472,아시아갈색청개구리,,Polypedates leucomystax</em>,유입주의 생물,양서류,Polypedates leucomystax
473,높은탑사과우렁이,Spike-topped apple snail,Pomacea diffusa</em>,유입주의 생물,무척추동물,Pomacea diffusa
474,다뉴브유럽가재,Danube crayfish,Pontastacus leptodactylus</em>,유입주의 생물,무척추동물,Pontastacus leptodactylus
475,발삼물황철나무,,Populus balsamifera</em> L.,유입주의 생물,식물,Populus balsamifera
476,미국큰거치사시나무,,Populus grandidentata</em> Michx.,유입주의 생물,식물,Populus grandidentata
477,자색물닭,,Porphyrio porphyrio</em>,유입주의 생물,조류,Porphyrio porphyrio
478,남미보라꽃등골나물,Praxelis,Praxelis clematidea</em>,유입주의 생물,식물,Praxelis clematidea
479,북미흰돌기가재,White river crayfish,Procambarus acutus</em>,유입주의 생물,무척추동물,Procambarus acutus
480,마블가재,"Marmorkrebs, Marbled crayfish",Procambarus virginalis</em>,유입주의 생물,무척추동물,Procambarus virginalis
481,남미게잡이라쿤,Crab-eating raccoon,Procyon cancrivorus</em>,"외래생물, 유입주의 생물",포유류,Procyon cancrivorus
482,왕메뚜기콩,Honey mesquite,Prosopis glandulosa</em> Torr.,유입주의 생물,식물,Prosopis glandulosa
483,개꼬리미모사나무,Mesquite,Prosopis juliflora</em>,유입주의 생물,식물,Prosopis juliflora
484,서유럽관코망둑,,Proterorhinus semilunaris</em>,유입주의 생물,어류,Proterorhinus semilunaris
485,갈색점박이살모사,Brown Spotted Pit Viper,Protobothrops mucrosquamatus</em>,유입주의 생물,파충류,Protobothrops mucrosquamatus
486,개혓바닥국화,,Pseudelephantopus spicatus</em> (Juss. ex Aubl.) C.F.Baker,유입주의 생물,식물,Pseudelephantopus spicatus
487,시베리아하늘다람쥐,,Pteromys volans</em>,유입주의 생물,포유류,Pteromys volans
488,벌레무늬플래코,Vermiculated sailfin catfish,Pterygoplichthys disjunctivus</em>,유입주의 생물,어류,Pterygoplichthys disjunctivus
489,오리노코플래코,Orinoco sailfin catfish,Pterygoplichthys multiradiatus</em>,유입주의 생물,어류,Pterygoplichthys multiradiatus
490,아마존비파,Amazon sailfin catfish,Pterygoplichthys pardalis</em>,유입주의 생물,어류,Pterygoplichthys pardalis
491,재규어푸마,Jaguarundi,Puma yagouaroundi</em>,유입주의 생물,포유류,Puma yagouaroundi
492,붉은꽁지직박구리,,Pycnonotus cafer</em>,유입주의 생물,조류,Pycnonotus cafer
493,붉은수염직박구리,Red-whiskered bulbul,Pycnonotus jocosus</em>,유입주의 생물,조류,Pycnonotus jocosus
494,넓적머리동자개,Flathead catfish,Pylodictis olivaris</em>,유입주의 생물,어류,Pylodictis olivaris
495,붉은부리베짜는새,,Quelea quelea</em>,유입주의 생물,조류,Quelea quelea
496,유럽기민개구리,Agile frog,Rana dalmatina</em>,유입주의 생물,양서류,Rana dalmatina
497,돼지개구리,,Rana grylio</em>,유입주의 생물,양서류,Rana grylio
498,강개구리,,Rana heckscheri</em>,유입주의 생물,양서류,Rana heckscheri
499,일본산개구리,Japanese brown frog,Rana japonica</em>,유입주의 생물,양서류,Rana japonica
500,북방표범개구리,,Rana pipiens</em>,유입주의 생물,양서류,Rana pipiens
501,태평양쥐,Polynesian rat,Rattus exulans</em>,유입주의 생물,포유류,Rattus exulans
502,노란꽃목서초,,Reseda lutea</em> L.,유입주의 생물,식물,Reseda lutea
503,붉은목유혈목이,Red-necked keelback,Rhabdophis subminiatus</em>,유입주의 생물,파충류,Rhabdophis subminiatus
504,이탈리아갈매나무,,Rhamnus alaternus</em> L.,유입주의 생물,식물,Rhamnus alaternus
505,기는뻐꾹채,Russian Knapweed,Rhaponticum repens</em> (L.) Hidalgo,유입주의 생물,식물,Rhaponticum repens
506,사탕수수두꺼비,"Giant toad, Cane toad, Marine toad",Rhinella marina</em>,"외래생물, 유입주의 생물",양서류,Rhinella marina
507,유럽납줄개,European bitterling,Rhodeus amarus</em>,유입주의 생물,어류,Rhodeus amarus
508,북유럽흰마자,,Romanogobio belingi</em>,유입주의 생물,어류,Romanogobio belingi
509,큰꽃용가시나무,Macartney Rose,Rosa bracteata</em> Sieber ex C.Presl,유입주의 생물,식물,Rosa bracteata
510,러시아소리쟁이,,Rumex confertus</em> Willd.,유입주의 생물,식물,Rumex confertus
511,자바루사사슴,,Rusa timorensis</em>,유입주의 생물,포유류,Rusa timorensis
512,삼바사슴,Sambar,Rusa unicolor</em>,유입주의 생물,포유류,Rusa unicolor
513,로우치,Roach,Rutilus rutilus</em>,유입주의 생물,어류,Rutilus rutilus
514,잔디잎소귀나물,Grass-leaved arrowhead,Sagittaria graminea</em> Michx.,유입주의 생물,식물,Sagittaria graminea
515,덩굴가지,"Pampas lily of the valley, lily of the valley vine, Cock&apos;s-eggs",Salpichroa origanifolia</em> (Lam.) Thell.,유입주의 생물,식물,Salpichroa origanifolia
516,북미계곡곤들매기,,Salvelinus fontinalis</em>,유입주의 생물,어류,Salvelinus fontinalis
517,큰생이가래,"Giant salvinia, Kariba weed",Salvinia biloba</em>,유입주의 생물,식물,Salvinia biloba
518,좀생이가래,Common salvinia,Salvinia minima</em> Baker,유입주의 생물,식물,Salvinia minima
519,파이크농어,Zander,Sander lucioperca</em>,유입주의 생물,어류,Sander lucioperca
520,월아이농어,Walleye,Sander vitreus</em>,유입주의 생물,어류,Sander vitreus
521,볼가민물꼬치농어,Volga pikeperch,Sander volgensis</em>,유입주의 생물,어류,Sander volgensis
522,일본참중고기,Biwa higai,Sarcocheilichthys variegatus microoculus</em>,유입주의 생물,어류,Sarcocheilichthys variegatus microoculus
523,검은턱틸라피아,,Sarotherodon melanotheron</em>,유입주의 생물,어류,Sarotherodon melanotheron
524,러드,Common rudd,Scardinius erythrophthalmus</em>,유입주의 생물,어류,Scardinius erythrophthalmus
525,붉은코청개구리,,Scinax ruber</em>,유입주의 생물,양서류,Scinax ruber
526,코카커스청설모,,Sciurus anomalus</em>,유입주의 생물,포유류,Sciurus anomalus
527,멕시코회색다람쥐,Mexican gray squirrel,Sciurus aureogaster</em>,유입주의 생물,포유류,Sciurus aureogaster
528,동부회색다람쥐,Eastern gray squirrel,Sciurus carolinensis</em>,유입주의 생물,포유류,Sciurus carolinensis
529,여우청설모,,Sciurus niger</em>,유입주의 생물,포유류,Sciurus niger
530,모리타니두꺼비,Mauritanian Toad,Sclerophrys mauritanica</em>,유입주의 생물,양서류,Sclerophrys mauritanica
531,남아프리카덩굴금방망이,Creeping groudsel,Senecio angulatus</em> L.f.,유입주의 생물,식물,Senecio angulatus
532,갯솜방망이,"Madagascar ragwort, Fireweed, Madagascar fireweed, Variable groundsel",Senecio madagascariensis</em>,유입주의 생물,식물,Senecio madagascariensis
533,멕시코나무결명자,,Senna septemtrionalis</em> (Viv.) H.S.Irwin &amp; Barneby,유입주의 생물,식물,Senna septemtrionalis
534,넓은잎강아지풀,"Palmgrass, highland pitpit, hailans pitpit, short pitpit",Setaria palmifolia</em> (J.Koenig) Stapf,유입주의 생물,식물,Setaria palmifolia
535,심장잎공단풀,,Sida cordifolia</em> L.,유입주의 생물,식물,Sida cordifolia
536,마블독가시치,Marbled spinefoot,Siganus rivulatus</em>,유입주의 생물,어류,Siganus rivulatus
537,웰스메기,Wels catfish,Silurus glanis</em>,유입주의 생물,어류,Silurus glanis
538,중국쏘가리,Mandarin fish,Siniperca chuatsi</em>,유입주의 생물,어류,Siniperca chuatsi
539,희망봉왕도깨비가지,"Dutch eggplant, Love-apple",Solanum aculeatissimum</em>,유입주의 생물,식물,Solanum aculeatissimum
540,아프리카까마중나무,"Purple african nightshade, White-margined nightshade",Solanum marginatum</em>,유입주의 생물,식물,Solanum marginatum
541,남미솜털까마중나무,Tobacco tree,Solanum mauritianum</em>,유입주의 생물,식물,Solanum mauritianum
542,아르헨티나까마중,,Solanum triflorum</em> Nutt.,유입주의 생물,식물,Solanum triflorum
543,좁은꽃갯줄풀,Denseflower cordgrass,Spartina densiflora</em> Brongn.,유입주의 생물,식물,Spartina densiflora
544,아메리카갯줄풀,Marsh grass,Spartina patens</em> (Aiton) Muhl.,유입주의 생물,식물,Spartina patens
545,미국갯금불초,"Creeping ox-eye, Singapore daisy, Trailing daisy, Wedelia",Sphagneticola trilobata</em>,유입주의 생물,식물,Sphagneticola trilobata
546,점박이숲도마뱀,,Sphenomorphus maculatus</em>,유입주의 생물,파충류,Sphenomorphus maculatus
547,이술쥐꼬리새풀,,Sporobolus diandrus</em> (Retz.) P.Beauv.,유입주의 생물,식물,Sporobolus diandrus
548,미국쥐꼬리새풀,,Sporobolus indicus</em> (L.) R.Br.,유입주의 생물,식물,Sporobolus indicus
549,유럽몰개,Chub,Squalius cephalus</em>,유입주의 생물,어류,Squalius cephalus
550,카옌개마편초,,Stachytarpheta cayennensis</em> (Rich.) Vahl,유입주의 생물,식물,Stachytarpheta cayennensis
551,자메이카마편초,,Stachytarpheta jamaicensis</em> (L.) Vahl,유입주의 생물,식물,Stachytarpheta jamaicensis
552,총검자라풀,Water soldier,Stratiotes aloides</em> L.,유입주의 생물,식물,Stratiotes aloides
553,목점박이비둘기,Eastern spotted dove,Streptopelia chinensis</em>,유입주의 생물,조류,Streptopelia chinensis
554,아프리카염주비둘기,,Streptopelia roseogrisea</em>,유입주의 생물,조류,Streptopelia roseogrisea
555,호박잼물우렁이,Amber snail,Succinea costaricana</em>,유입주의 생물,무척추동물,Succinea costaricana
556,줄무늬멧돼지,Banding pig,Sus scrofa vittatus</em>,유입주의 생물,포유류,Sus scrofa vittatus
557,노란별꽃아재비,,Synedrella nodiflora</em> (L.) Gaertn.,유입주의 생물,식물,Synedrella nodiflora
558,짧은코가시두더지,,Tachyglossus aculeatus</em>,유입주의 생물,포유류,Tachyglossus aculeatus
559,북미동부다람쥐,,Tamias striatus</em>,유입주의 생물,포유류,Tamias striatus
560,미국덩굴옻나무,Poison ivy,Toxicodendron radicans</em> (L.) Kuntze,유입주의 생물,식물,Toxicodendron radicans
561,자메이카남가새,,Tribulus cistoides</em> L.,유입주의 생물,식물,Tribulus cistoides
562,토끼발클로버,,Trifolium arvense</em> L.,유입주의 생물,식물,Trifolium arvense
563,미국애기부들,,Typha domingensis</em> Pers.,유입주의 생물,식물,Typha domingensis
564,유럽꼬마부들,,Typha lugdunensis</em> Chabert,유입주의 생물,식물,Typha lugdunensis
565,아프리카바나나민달팽이,African banana slug,Urocyclus flavescens</em>,유입주의 생물,무척추동물,Urocyclus flavescens
566,개줄덩굴,"Dog-strangling vine, Swallowwort, Pale swallowwort",Vincetoxicum rossicum</em>,유입주의 생물,식물,Vincetoxicum rossicum
567,유럽살모사,Asp viper,Vipera aspis</em>,유입주의 생물,파충류,Vipera aspis
568,들묵새아재비,,Vulpia bromoides</em> (L.) Gray,"외래생물, 유입주의 생물",식물,Vulpia bromoides
569,아이스쿨라피우스뱀,,Zamenis longissimus</em>,유입주의 생물,파충류,Zamenis longissimus
570,흰죽지비둘기,White-winged dove,Zenaida asiatica</em>,유입주의 생물,조류,Zenaida asiatica
,대서양연어,Atlantic salmon,Salmo salar</em>,생태계위해우려생물,어류,Salmo salar
,라쿤,Northern raccoon,Procyon lotor</em>,"외래생물, 생태계위해우려생물",포유류,Procyon lotor
,아프리카발톱개구리,African clawed frog,Xenopus laevis</em>,"외래생물, 생태계위해우려생물",양서류,Xenopus laevis
,피라냐,Piranha,Pygocentrus nattereri</em>,생태계위해우려생물,어류,Pygocentrus nattereri
,가시박,Bur cucumber,Sicyos angulatus</em> (Miq.) Kitam.,"외래생물, 생태계교란 생물",식물,Sicyos angulatus
,가시상추,Prickly Lettuce,Lactuca scariola</em> L.,"외래생물, 생태계교란 생물",식물,Lactuca scariola
,갈색날개매미충,,Pochazia shantungensis</em>,"외래생물, 생태계교란 생물",곤충,Pochazia shantungensis
,갯줄풀,"Smooth cordgrass, Saltmarsh cordgrass,Salt-water cord grass",Spartina alterniflora</em> Loisel.,"외래생물, 생태계교란 생물",식물,Spartina alterniflora
,긴다리비틀개미,Crazy ant,Anoplolepis gracilipes</em>,"외래생물, 생태계교란 생물",곤충,Anoplolepis gracilipes
,꽃매미,Spotted lanternfly,Lycorma delicatula</em>,"외래생물, 생태계교란 생물",곤충,Lycorma delicatula
,뉴트리아,Nutria,Myocastor coypus</em>,"외래생물, 생태계교란 생물",포유류,Myocastor coypus
,늑대거북,Common snapping turtle,Chelydra serpentina</em>,"외래생물, 생태계교란 생물",파충류,Chelydra serpentina
,단풍잎돼지풀,"Great Ragweed, Buffalo-weed",Ambrosia trifida</em> L.,"외래생물, 생태계교란 생물",식물,Ambrosia trifida
,도깨비가지,Carolina horsenettle,Solanum carolinense</em> L.,"외래생물, 생태계교란 생물",식물,Solanum carolinense
,돼지풀,"Ragweed, Hog-weed",Ambrosia artemisiifolia</em> L.,"외래생물, 생태계교란 생물",식물,Ambrosia artemisiifolia
,돼지풀아재비,"Parthenium weed, Santa maria",Parthenium hysterophorus</em> L.,"외래생물, 생태계교란 생물",식물,Parthenium hysterophorus
,등검은말벌,"Asian black hornet, Yellow-legged asian",Vespa velutina nigrithorax</em>,"외래생물, 생태계교란 생물",곤충,Vespa velutina nigrithorax
,리버쿠터,(Eastern) River cooter,Pseudemys concinna</em>,"외래생물, 생태계교란 생물",파충류,Pseudemys concinna
,마늘냉이,Garlic mustard,Alliaria petiolata</em> (M. Bieb.) Cavara &amp; Grande,"외래생물, 생태계교란 생물",식물,Alliaria petiolata
,물참새피,distichum,Paspalum distichum</em> L.,"외래생물, 생태계교란 생물",식물,Paspalum distichum
,미국가재,Red crayfish(Red swamp crayfish),Procambarus clarkii</em>,"외래생물, 생태계교란 생물",무척추동물,Procambarus clarkii
,미국선녀벌레,Citrus flatid planthopper,Metcalfa pruinosa</em>,"외래생물, 생태계교란 생물",곤충,Metcalfa pruinosa
,미국쑥부쟁이,White Heath Aster,Aster pilosus</em> Willd.,"외래생물, 생태계교란 생물",식물,Aster pilosus
